Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2003-01-21,1008.93,1028.32,1008.93,1460068555.0,0.0
2003-01-22,1027.08,1027.08,1003.58,1487073773.0,39164.0
2003-01-23,1039.16,1039.16,1011.12,1504571957.0,0.0
2003-01-24,992.85,1027.7,992.85,1437518408.0,0.0
2003-01-27,982.02,1006.26,982.02,1421834494.0,0.0
2003-01-28,1006.51,1006.51,983.95,1457291358.0,0.0
2003-01-29,1022.98,1022.98,980.92,1481143971.0,0.0
2003-01-30,985.16,1022.21,985.16,1426384594.0,73724.0
2003-01-31,996.04,996.04,968.34,1442129172.0,0.0
2003-02-03,997.56,997.56,981.37,1444332596.0,0.0
2003-02-04,960.01,974.68,960.01,1389966333.0,0.0
2003-02-05,967.59,999.16,967.59,1403045671.0,197038.0
2003-02-06,960.81,979.18,960.81,1393207743.0,16864.0
2003-02-07,951.67,983.36,951.67,1379960327.0,0.0
2003-02-10,974.48,974.48,950.81,1413026009.0,0.0
2003-02-11,962.44,989.32,962.44,1395570595.0,0.0
2003-02-12,956.57,978.06,956.57,1387236455.0,0.0
2003-02-13,938.52,959.73,938.52,1361052960.0,48799.0
2003-02-14,982.12,982.12,952.7,1424283683.0,0.0
2003-02-18,1015.34,1015.34,989.82,1472463632.0,0.0
2003-02-19,994.25,1014.64,994.25,1441879251.0,561191.0
2003-02-20,999.58,1015.22,999.58,1449615775.0,0.0
2003-02-21,1019.25,1019.25,986.73,1478136982.0,0.0
2003-02-24,994.23,1013.2,994.23,1441845885.0,19639.0
2003-02-25,1001.72,1001.72,969.56,1452712285.0,0.0
2003-02-26,973.93,1001.99,973.93,1412409504.0,19893.0
2003-02-27,1000.98,1000.98,976.6,1451647266.0,0.0
2003-02-28,1013.34,1013.34,994.79,1469572292.0,0.0
2003-03-03,988.4,1023.47,988.4,1433395248.0,0.0
2003-03-04,982.06,994.35,982.06,1424195627.0,0.0
2003-03-05,995.19,995.19,978.4,1443242176.0,12548.0
2003-03-06,991.69,991.69,976.55,1438173210.0,0.0
2003-03-07,992.11,992.11,964.25,1438778868.0,0.0
2003-03-10,962.48,982.87,962.48,1395812156.0,0.0
2003-03-11,956.94,973.86,956.94,1387780068.0,0.0
2003-03-12,971.39,971.39,946.79,1408724289.0,88929.0
2003-03-13,1029.84,1029.84,981.58,1493488363.0,0.0
2003-03-14,1020.17,1042.56,1020.17,1479476884.0,0.0
2003-03-17,1077.14,1077.14,1018.76,1562082848.0,0.0
2003-03-18,1082.2,1082.2,1063.22,1569429063.0,0.0
2003-03-19,1058.81,1083.11,1058.81,1535503140.0,0.0
2003-03-20,1089.21,1089.21,1052.92,1579587433.0,5436.0
2003-03-21,1099.61,1099.61,1078.64,1594677647.0,0.0
2003-03-24,1045.65,1068.46,1045.65,1516350611.0,0.0
2003-03-25,1075.43,1075.43,1047.06,1559538284.0,6498.0
2003-03-26,1074.98,1074.98,1060.05,1558883033.0,0.0
2003-03-27,1070.67,1070.67,1049.5,1552641102.0,0.0
2003-03-28,1044.38,1061.83,1044.38,1514515736.0,0.0
2003-03-31,1032.91,1032.91,1014.96,1497875130.0,4614.0
2003-04-01,1031.51,1031.51,1015.46,1495694808.0,151521.0
2003-04-02,1066.9,1066.9,1047.39,1547014122.0,0.0
2003-04-03,1078.76,1078.76,1058.01,1564206155.0,0.0
2003-04-04,1044.37,1067.51,1044.37,1514343064.0,0.0
2003-04-07,1053.22,1091.74,1053.22,1527180099.0,0.0
2003-04-08,1056.03,1056.03,1041.47,1531258798.0,0.0
2003-04-09,1023.48,1055.89,1023.48,1485564916.0,0.0
2003-04-10,1035.61,1035.61,1018.17,1503170535.0,0.0
2003-04-11,1020.56,1051.88,1020.56,1481326389.0,0.0
2003-04-14,1050.51,1050.51,1025.8,1524795305.0,0.0
2003-04-15,1058.54,1058.54,1039.99,1536453611.0,0.0
2003-04-16,1051.52,1078.23,1051.52,1526267981.0,0.0
2003-04-17,1084.81,1084.81,1051.36,1574579212.0,0.0
2003-04-21,1070.86,1089.71,1070.86,1554337670.0,0.0
2003-04-22,1103.81,1103.81,1072.13,1602170786.0,0.0
2003-04-23,1115.67,1115.67,1096.92,1619379993.0,47127.0
2003-04-24,1115.36,1115.36,1097.19,1618926912.0,0.0
2003-04-25,1081.34,1101.76,1081.34,1569543495.0,0.0
2003-04-28,1110.5,1110.5,1084.77,1611874413.0,0.0
2003-04-29,1103.79,1126.58,1103.79,1602132722.0,73762.0
2003-04-30,1116.85,1116.85,1104.39,1620897921.0,0.0
2003-05-01,1119.67,1119.67,1094.42,1625002801.0,0.0
2003-05-02,1137.45,1137.45,1109.66,1650807899.0,0.0
2003-05-05,1152.96,1152.96,1132.99,1673305093.0,86087.0
2003-05-06,1161.0,1161.0,1134.47,1684972262.0,7624.0
2003-05-07,1131.37,1152.68,1131.37,1641979858.0,0.0
2003-05-08,1132.28,1132.28,1116.67,1643304108.0,55417.0
2003-05-09,1143.97,1143.97,1126.13,1660257872.0,0.0
2003-05-12,1163.75,1163.75,1133.89,1688966089.0,0.0
2003-05-13,1165.53,1165.53,1148.51,1691553659.0,0.0
2003-05-14,1140.77,1165.2,1140.77,1655612610.0,0.0
2003-05-15,1149.04,1164.5,1149.04,1667614572.0,53785.0
2003-05-16,1146.29,1162.64,1146.29,1663629879.0,0.0
2003-05-19,1112.27,1152.59,1112.27,1614261934.0,0.0
2003-05-20,1103.2,1124.34,1103.2,1601088627.0,0.0
2003-05-21,1104.11,1115.56,1104.11,1603058734.0,0.0
2003-05-22,1137.68,1137.68,1112.59,1651806232.0,0.0
2003-05-23,1135.49,1135.49,1125.24,1648623535.0,0.0
2003-05-27,1174.16,1174.16,1123.25,1704763132.0,0.0
2003-05-28,1181.93,1181.93,1165.34,1716048573.0,100937.0
2003-05-29,1198.43,1198.43,1172.52,1740009754.0,15376.0
2003-05-30,1201.25,1201.25,1185.09,1744097376.0,0.0
2003-06-02,1180.32,1213.76,1180.32,1713713512.0,0.0
2003-06-03,1198.95,1198.95,1180.01,1740760287.0,0.0
2003-06-04,1228.52,1228.52,1195.96,1785868786.0,12552.0
2003-06-05,1231.79,1231.79,1206.26,1790620928.0,0.0
2003-06-06,1210.33,1265.69,1210.33,1759428586.0,0.0
2003-06-09,1188.04,1214.22,1188.04,1727022657.0,0.0
2003-06-10,1212.99,1212.99,1194.2,1763300028.0,0.0
2003-06-11,1230.5,1230.5,1199.47,1788750167.0,0.0
2003-06-12,1218.02,1235.88,1218.02,1770607450.0,8248.0
2003-06-13,1201.12,1235.42,1201.12,1746044689.0,0.0
2003-06-16,1242.5,1242.5,1206.13,1806186982.0,0.0
